,Clave,Descripción,Existencia,Unidad
9,AGL-3T,Gato de Patín Largo 3Ton,1.0,PIEZA
10,AGP50RL-3TL,Gato de Patín 3Ton Bajo Perfil,0.0,PIEZA
11,AGPC-3T,Gato de Patín Bajo Perfil 3Ton,0.0,PIEZA
12,AGTA179-0.5T,Gato Telescópico para Transmisión 500Kg,0.0,PIEZA
13,AGTA190-0.5T,Gato Telescópico para Transmisión 500Kg,0.0,PIEZA
14,AGTB-0.5T,Gato para Transmisión Bajo 500Kg,0.0,PIEZA
15,APP-10T,Porto Power con Accesorios 10Ton,0.0,JGO
16,KM-1,Kit de Mordazas para Banco 7pzas,0.0,JGO
19,EM1230,Osciloscopio 2 Canales Multímetro 25Mhz,0.0,JGO
20,EM133A,Multímetro Automotriz,0.0,PIEZA
21,EM2270,Medidor de Espesor de Pintura,0.0,PIEZA
22,EM272,Simulador y Probador Lambda,1.0,PIEZA
23,EM55,Medidor Digital de Distancias,1.0,PIEZA
26,58917,Dado Torx T60,1.0,PIEZA
29,7500,Torno para Frenos Reconstruido,0.0,PIEZA
32,EM4R,Empapeladora para 4 Rollos,0.0,PIEZA
35,AMX-19AR180,Planta de Soldar 180A 127V,0.0,PIEZA
36,AMX-19AR225,Planta de Soldar 225A 127/220V,1.0,PIEZA
37,AMX-19AR225P,Planta de Soldar 225A 127/220V Portátil,2.0,PIEZA
38,AMX-19ARP,Planta de Soldar 180A 127V Portátil,0.0,PIEZA
39,AMX-CB20,Cargador Arrancador de Baterías 6/12/24V,3.0,PIEZA
40,AMX-CB60,Cargador y Arrancador de Baterías 127V,0.0,PIEZA
41,AMX-CPS5,Juego de Cables para Soldar 5m,10.0,PIEZA
42,AMX-SEPRP,Soldador de Estaño o Plomo Reforzado,5.0,PIEZA
45,AB-RD-PE,Registro Domiciliario,1.0,PIEZA
48,GAS-PREMIUM,(32012) PREMIUM,0.0,LITRO
49,GAST-16,Gastos Varios C/IVA,0.0,
50,GATV16,Gastos Varios S/IVA,2.0,
53,AS-AT84A-PC,Aro y Tapa 84-A,0.0,PIEZA
54,AS-AT84B-PC,Aro y Tapa 84-B,1.0,PIEZA
55,AS-BT4B-PC,Brocal p/Pozo de Visita con 4 Barrenos,0.0,PIEZA
56,AS-BT4BEL-PC,Brocal p/Pozo de Visita 4 Barrenos EL,0.0,PIEZA
57,AS-BT6B-PC,Brocal p/Pozo de Visita con 6 Barrenos,0.0,PIEZA
58,AS-BTCB-PC,Brocal para Pozo de Visita c/Bisagra,0.0,PIEZA
59,AS-BTCEL-PC,Brocal p/Pozo de Visita Ciego EL,0.0,PIEZA
60,AS-BTCL-PC,Brocal p/Pozo de Visita Ciego Ligero,0.0,PIEZA
61,AS-BTCP-PC,Brocal p/Poco de Visita Ciego Pesado,0.0,PIEZA
62,AS-CPB-PC,Coladera Pluvial para Banqueta,0.0,PIEZA
63,AS-MR406014C-PC,Marco y Rejilla 40x60 c/14 Captaciones,1.0,PIEZA
